#Nearest Neighbor Entropy Estimator. X~Beta(s+1,s+1)^d. Average over 500 tries
#d	s	k	N	sqMSE	slope	intercept
2	2.0	4	32	0.1885	-0.4880	-0.0308
2	2.0	4	64	0.1164	-0.4880	-0.0308
2	2.0	4	128	0.0926	-0.4880	-0.0308
2	2.0	4	256	0.0658	-0.4880	-0.0308
2	2.0	4	512	0.0459	-0.4880	-0.0308
2	2.0	4	1024	0.0336	-0.4880	-0.0308
2	2.0	4	2048	0.0232	-0.4880	-0.0308
2	2.0	5	32	0.1824	-0.5010	0.0020
2	2.0	5	64	0.1218	-0.5010	0.0020
2	2.0	5	128	0.0849	-0.5010	0.0020
2	2.0	5	256	0.0628	-0.5010	0.0020
2	2.0	5	512	0.0448	-0.5010	0.0020
2	2.0	5	1024	0.0315	-0.5010	0.0020
2	2.0	5	2048	0.0217	-0.5010	0.0020
2	2.0	6	32	0.1827	-0.5017	-0.0100
2	2.0	6	64	0.1158	-0.5017	-0.0100
2	2.0	6	128	0.0873	-0.5017	-0.0100
2	2.0	6	256	0.0607	-0.5017	-0.0100
2	2.0	6	512	0.0434	-0.5017	-0.0100
2	2.0	6	1024	0.0309	-0.5017	-0.0100
2	2.0	6	2048	0.0217	-0.5017	-0.0100
2	2.0	7	32	0.1763	-0.5008	-0.0039
2	2.0	7	64	0.1258	-0.5008	-0.0039
2	2.0	7	128	0.0850	-0.5008	-0.0039
2	2.0	7	256	0.0611	-0.5008	-0.0039
2	2.0	7	512	0.0448	-0.5008	-0.0039
2	2.0	7	1024	0.0318	-0.5008	-0.0039
2	2.0	7	2048	0.0214	-0.5008	-0.0039
2	2.0	8	32	0.1856	-0.5110	0.0113
2	2.0	8	64	0.1138	-0.5110	0.0113
2	2.0	8	128	0.0836	-0.5110	0.0113
2	2.0	8	256	0.0559	-0.5110	0.0113
2	2.0	8	512	0.0422	-0.5110	0.0113
2	2.0	8	1024	0.0311	-0.5110	0.0113
2	2.0	8	2048	0.0203	-0.5110	0.0113
2	2.0	9	32	0.1778	-0.5124	0.0344
2	2.0	9	64	0.1238	-0.5124	0.0344
2	2.0	9	128	0.0856	-0.5124	0.0344
2	2.0	9	256	0.0572	-0.5124	0.0344
2	2.0	9	512	0.0435	-0.5124	0.0344
2	2.0	9	1024	0.0298	-0.5124	0.0344
2	2.0	9	2048	0.0209	-0.5124	0.0344
2	2.0	10	32	0.1831	-0.5143	0.0448
2	2.0	10	64	0.1184	-0.5143	0.0448
2	2.0	10	128	0.0863	-0.5143	0.0448
2	2.0	10	256	0.0589	-0.5143	0.0448
2	2.0	10	512	0.0421	-0.5143	0.0448
2	2.0	10	1024	0.0307	-0.5143	0.0448
2	2.0	10	2048	0.0205	-0.5143	0.0448
3	0.5	1	32	0.3317	-0.5176	0.6843
3	0.5	1	64	0.2239	-0.5176	0.6843
3	0.5	1	128	0.1653	-0.5176	0.6843
3	0.5	1	256	0.1142	-0.5176	0.6843
3	0.5	1	512	0.0767	-0.5176	0.6843
3	0.5	1	1024	0.0548	-0.5176	0.6843
3	0.5	1	2048	0.0385	-0.5176	0.6843
3	0.5	2	32	0.2862	-0.5211	0.5275
3	0.5	2	64	0.1923	-0.5211	0.5275
3	0.5	2	128	0.1305	-0.5211	0.5275
3	0.5	2	256	0.0935	-0.5211	0.5275
3	0.5	2	512	0.0667	-0.5211	0.5275
3	0.5	2	1024	0.0463	-0.5211	0.5275
3	0.5	2	2048	0.0317	-0.5211	0.5275
3	0.5	3	32	0.2983	-0.5121	0.5313
3	0.5	3	64	0.2012	-0.5121	0.5313
3	0.5	3	128	0.1390	-0.5121	0.5313
3	0.5	3	256	0.0971	-0.5121	0.5313
3	0.5	3	512	0.0685	-0.5121	0.5313
3	0.5	3	1024	0.0491	-0.5121	0.5313
3	0.5	3	2048	0.0352	-0.5121	0.5313
3	0.5	4	32	0.3336	-0.5283	0.6961
3	0.5	4	64	0.2211	-0.5283	0.6961
3	0.5	4	128	0.1475	-0.5283	0.6961
3	0.5	4	256	0.1067	-0.5283	0.6961
3	0.5	4	512	0.0742	-0.5283	0.6961
3	0.5	4	1024	0.0524	-0.5283	0.6961
3	0.5	4	2048	0.0359	-0.5283	0.6961
3	0.5	5	32	0.3395	-0.5226	0.7147
3	0.5	5	64	0.2355	-0.5226	0.7147
3	0.5	5	128	0.1605	-0.5226	0.7147
3	0.5	5	256	0.1098	-0.5226	0.7147
3	0.5	5	512	0.0760	-0.5226	0.7147
3	0.5	5	1024	0.0555	-0.5226	0.7147
3	0.5	5	2048	0.0389	-0.5226	0.7147
3	0.5	6	32	0.3866	-0.5265	0.8198
3	0.5	6	64	0.2494	-0.5265	0.8198
3	0.5	6	128	0.1688	-0.5265	0.8198
3	0.5	6	256	0.1212	-0.5265	0.8198
3	0.5	6	512	0.0837	-0.5265	0.8198
3	0.5	6	1024	0.0596	-0.5265	0.8198
3	0.5	6	2048	0.0421	-0.5265	0.8198
3	0.5	7	32	0.3973	-0.5285	0.8745
3	0.5	7	64	0.2760	-0.5285	0.8745
3	0.5	7	128	0.1724	-0.5285	0.8745
3	0.5	7	256	0.1231	-0.5285	0.8745
3	0.5	7	512	0.0883	-0.5285	0.8745
3	0.5	7	1024	0.0619	-0.5285	0.8745
3	0.5	7	2048	0.0440	-0.5285	0.8745
3	0.5	8	32	0.4224	-0.5283	0.9307
3	0.5	8	64	0.2803	-0.5283	0.9307
3	0.5	8	128	0.1923	-0.5283	0.9307
3	0.5	8	256	0.1304	-0.5283	0.9307
3	0.5	8	512	0.0928	-0.5283	0.9307
3	0.5	8	1024	0.0651	-0.5283	0.9307
3	0.5	8	2048	0.0467	-0.5283	0.9307
3	0.5	9	32	0.4504	-0.5341	1.0229
3	0.5	9	64	0.3056	-0.5341	1.0229
3	0.5	9	128	0.2017	-0.5341	1.0229
3	0.5	9	256	0.1391	-0.5341	1.0229
3	0.5	9	512	0.0976	-0.5341	1.0229
3	0.5	9	1024	0.0696	-0.5341	1.0229
3	0.5	9	2048	0.0486	-0.5341	1.0229
3	0.5	10	32	0.4771	-0.5334	1.0542
3	0.5	10	64	0.3079	-0.5334	1.0542
3	0.5	10	128	0.2077	-0.5334	1.0542
3	0.5	10	256	0.1468	-0.5334	1.0542
3	0.5	10	512	0.1001	-0.5334	1.0542
3	0.5	10	1024	0.0709	-0.5334	1.0542
3	0.5	10	2048	0.0514	-0.5334	1.0542
3	1.0	1	32	0.3155	-0.5128	0.6080
3	1.0	1	64	0.2132	-0.5128	0.6080
3	1.0	1	128	0.1555	-0.5128	0.6080
3	1.0	1	256	0.1070	-0.5128	0.6080
3	1.0	1	512	0.0721	-0.5128	0.6080
3	1.0	1	1024	0.0531	-0.5128	0.6080
3	1.0	1	2048	0.0373	-0.5128	0.6080
3	1.0	2	32	0.2488	-0.5296	0.4217
3	1.0	2	64	0.1679	-0.5296	0.4217
3	1.0	2	128	0.1131	-0.5296	0.4217
3	1.0	2	256	0.0791	-0.5296	0.4217
3	1.0	2	512	0.0584	-0.5296	0.4217
3	1.0	2	1024	0.0384	-0.5296	0.4217
3	1.0	2	2048	0.0270	-0.5296	0.4217
3	1.0	3	32	0.2549	-0.5658	0.5300
3	1.0	3	64	0.1599	-0.5658	0.5300
3	1.0	3	128	0.1058	-0.5658	0.5300
3	1.0	3	256	0.0711	-0.5658	0.5300
3	1.0	3	512	0.0483	-0.5658	0.5300
3	1.0	3	1024	0.0322	-0.5658	0.5300
3	1.0	3	2048	0.0248	-0.5658	0.5300
3	1.0	4	32	0.2686	-0.5905	0.6648
3	1.0	4	64	0.1662	-0.5905	0.6648
3	1.0	4	128	0.1039	-0.5905	0.6648
3	1.0	4	256	0.0717	-0.5905	0.6648
3	1.0	4	512	0.0477	-0.5905	0.6648
3	1.0	4	1024	0.0326	-0.5905	0.6648
3	1.0	4	2048	0.0226	-0.5905	0.6648
3	1.0	5	32	0.2693	-0.6120	0.7975
3	1.0	5	64	0.1762	-0.6120	0.7975
3	1.0	5	128	0.1135	-0.6120	0.7975
3	1.0	5	256	0.0730	-0.6120	0.7975
3	1.0	5	512	0.0476	-0.6120	0.7975
3	1.0	5	1024	0.0318	-0.6120	0.7975
3	1.0	5	2048	0.0215	-0.6120	0.7975
3	1.0	6	32	0.2834	-0.6304	0.8988
3	1.0	6	64	0.1814	-0.6304	0.8988
3	1.0	6	128	0.1074	-0.6304	0.8988
3	1.0	6	256	0.0745	-0.6304	0.8988
3	1.0	6	512	0.0493	-0.6304	0.8988
3	1.0	6	1024	0.0313	-0.6304	0.8988
3	1.0	6	2048	0.0201	-0.6304	0.8988
3	1.0	7	32	0.3104	-0.6446	1.0309
3	1.0	7	64	0.1875	-0.6446	1.0309
3	1.0	7	128	0.1201	-0.6446	1.0309
3	1.0	7	256	0.0807	-0.6446	1.0309
3	1.0	7	512	0.0479	-0.6446	1.0309
3	1.0	7	1024	0.0333	-0.6446	1.0309
3	1.0	7	2048	0.0206	-0.6446	1.0309
3	1.0	8	32	0.3230	-0.6631	1.1359
3	1.0	8	64	0.1997	-0.6631	1.1359
3	1.0	8	128	0.1161	-0.6631	1.1359
3	1.0	8	256	0.0800	-0.6631	1.1359
3	1.0	8	512	0.0490	-0.6631	1.1359
3	1.0	8	1024	0.0323	-0.6631	1.1359
3	1.0	8	2048	0.0199	-0.6631	1.1359
3	1.0	9	32	0.3496	-0.6705	1.2566
3	1.0	9	64	0.2196	-0.6705	1.2566
3	1.0	9	128	0.1344	-0.6705	1.2566
3	1.0	9	256	0.0832	-0.6705	1.2566
3	1.0	9	512	0.0524	-0.6705	1.2566
3	1.0	9	1024	0.0333	-0.6705	1.2566
3	1.0	9	2048	0.0220	-0.6705	1.2566
3	1.0	10	32	0.3665	-0.6690	1.2558
3	1.0	10	64	0.2135	-0.6690	1.2558
3	1.0	10	128	0.1301	-0.6690	1.2558
3	1.0	10	256	0.0853	-0.6690	1.2558
3	1.0	10	512	0.0538	-0.6690	1.2558
3	1.0	10	1024	0.0330	-0.6690	1.2558
3	1.0	10	2048	0.0225	-0.6690	1.2558
3	1.5	1	32	0.2957	-0.5019	0.5623
3	1.5	1	64	0.2186	-0.5019	0.5623
3	1.5	1	128	0.1559	-0.5019	0.5623
3	1.5	1	256	0.1147	-0.5019	0.5623
3	1.5	1	512	0.0769	-0.5019	0.5623
3	1.5	1	1024	0.0540	-0.5019	0.5623
3	1.5	1	2048	0.0370	-0.5019	0.5623
3	1.5	2	32	0.2403	-0.5040	0.3060
3	1.5	2	64	0.1644	-0.5040	0.3060
3	1.5	2	128	0.1156	-0.5040	0.3060
3	1.5	2	256	0.0838	-0.5040	0.3060
3	1.5	2	512	0.0596	-0.5040	0.3060
3	1.5	2	1024	0.0413	-0.5040	0.3060
3	1.5	2	2048	0.0289	-0.5040	0.3060
3	1.5	3	32	0.2263	-0.5276	0.3375
3	1.5	3	64	0.1577	-0.5276	0.3375
3	1.5	3	128	0.1079	-0.5276	0.3375
3	1.5	3	256	0.0731	-0.5276	0.3375
3	1.5	3	512	0.0530	-0.5276	0.3375
3	1.5	3	1024	0.0358	-0.5276	0.3375
3	1.5	3	2048	0.0254	-0.5276	0.3375
3	1.5	4	32	0.2383	-0.5416	0.3830
3	1.5	4	64	0.1583	-0.5416	0.3830
3	1.5	4	128	0.0996	-0.5416	0.3830
3	1.5	4	256	0.0688	-0.5416	0.3830
3	1.5	4	512	0.0481	-0.5416	0.3830
3	1.5	4	1024	0.0345	-0.5416	0.3830
3	1.5	4	2048	0.0252	-0.5416	0.3830
3	1.5	5	32	0.2454	-0.5427	0.3899
3	1.5	5	64	0.1506	-0.5427	0.3899
3	1.5	5	128	0.1031	-0.5427	0.3899
3	1.5	5	256	0.0669	-0.5427	0.3899
3	1.5	5	512	0.0499	-0.5427	0.3899
3	1.5	5	1024	0.0339	-0.5427	0.3899
3	1.5	5	2048	0.0253	-0.5427	0.3899
3	1.5	6	32	0.2549	-0.5737	0.5409
3	1.5	6	64	0.1546	-0.5737	0.5409
3	1.5	6	128	0.1025	-0.5737	0.5409
3	1.5	6	256	0.0658	-0.5737	0.5409
3	1.5	6	512	0.0472	-0.5737	0.5409
3	1.5	6	1024	0.0335	-0.5737	0.5409
3	1.5	6	2048	0.0224	-0.5737	0.5409
3	1.5	7	32	0.2612	-0.5738	0.5329
3	1.5	7	64	0.1586	-0.5738	0.5329
3	1.5	7	128	0.0966	-0.5738	0.5329
3	1.5	7	256	0.0644	-0.5738	0.5329
3	1.5	7	512	0.0450	-0.5738	0.5329
3	1.5	7	1024	0.0318	-0.5738	0.5329
3	1.5	7	2048	0.0240	-0.5738	0.5329
3	1.5	8	32	0.2833	-0.6098	0.7388
3	1.5	8	64	0.1674	-0.6098	0.7388
3	1.5	8	128	0.1037	-0.6098	0.7388
3	1.5	8	256	0.0626	-0.6098	0.7388
3	1.5	8	512	0.0430	-0.6098	0.7388
3	1.5	8	1024	0.0305	-0.6098	0.7388
3	1.5	8	2048	0.0229	-0.6098	0.7388
3	1.5	9	32	0.2905	-0.6137	0.7790
3	1.5	9	64	0.1723	-0.6137	0.7790
3	1.5	9	128	0.1018	-0.6137	0.7790
3	1.5	9	256	0.0652	-0.6137	0.7790
3	1.5	9	512	0.0457	-0.6137	0.7790
3	1.5	9	1024	0.0305	-0.6137	0.7790
3	1.5	9	2048	0.0227	-0.6137	0.7790
3	1.5	10	32	0.3271	-0.6507	1.0060
3	1.5	10	64	0.1818	-0.6507	1.0060
3	1.5	10	128	0.1073	-0.6507	1.0060
3	1.5	10	256	0.0670	-0.6507	1.0060
3	1.5	10	512	0.0442	-0.6507	1.0060
3	1.5	10	1024	0.0298	-0.6507	1.0060
3	1.5	10	2048	0.0218	-0.6507	1.0060
3	2.0	1	32	0.3260	-0.5094	0.6216
3	2.0	1	64	0.2225	-0.5094	0.6216
3	2.0	1	128	0.1572	-0.5094	0.6216
3	2.0	1	256	0.1083	-0.5094	0.6216
3	2.0	1	512	0.0758	-0.5094	0.6216
3	2.0	1	1024	0.0544	-0.5094	0.6216
3	2.0	1	2048	0.0394	-0.5094	0.6216
3	2.0	2	32	0.2602	-0.5005	0.3381
3	2.0	2	64	0.1708	-0.5005	0.3381
3	2.0	2	128	0.1237	-0.5005	0.3381
3	2.0	2	256	0.0833	-0.5005	0.3381
3	2.0	2	512	0.0605	-0.5005	0.3381
3	2.0	2	1024	0.0438	-0.5005	0.3381
3	2.0	2	2048	0.0321	-0.5005	0.3381
3	2.0	3	32	0.2428	-0.5014	0.2397
3	2.0	3	64	0.1509	-0.5014	0.2397
3	2.0	3	128	0.1089	-0.5014	0.2397
3	2.0	3	256	0.0767	-0.5014	0.2397
3	2.0	3	512	0.0528	-0.5014	0.2397
3	2.0	3	1024	0.0400	-0.5014	0.2397
3	2.0	3	2048	0.0292	-0.5014	0.2397
3	2.0	4	32	0.2357	-0.5022	0.2269
3	2.0	4	64	0.1537	-0.5022	0.2269
3	2.0	4	128	0.1054	-0.5022	0.2269
3	2.0	4	256	0.0750	-0.5022	0.2269
3	2.0	4	512	0.0533	-0.5022	0.2269
3	2.0	4	1024	0.0368	-0.5022	0.2269
3	2.0	4	2048	0.0298	-0.5022	0.2269
3	2.0	5	32	0.2321	-0.5054	0.2210
3	2.0	5	64	0.1555	-0.5054	0.2210
3	2.0	5	128	0.1042	-0.5054	0.2210
3	2.0	5	256	0.0684	-0.5054	0.2210
3	2.0	5	512	0.0508	-0.5054	0.2210
3	2.0	5	1024	0.0377	-0.5054	0.2210
3	2.0	5	2048	0.0288	-0.5054	0.2210
3	2.0	6	32	0.2440	-0.5166	0.2748
3	2.0	6	64	0.1539	-0.5166	0.2748
3	2.0	6	128	0.0977	-0.5166	0.2748
3	2.0	6	256	0.0699	-0.5166	0.2748
3	2.0	6	512	0.0503	-0.5166	0.2748
3	2.0	6	1024	0.0380	-0.5166	0.2748
3	2.0	6	2048	0.0274	-0.5166	0.2748
3	2.0	7	32	0.2643	-0.5276	0.3365
3	2.0	7	64	0.1493	-0.5276	0.3365
3	2.0	7	128	0.1033	-0.5276	0.3365
3	2.0	7	256	0.0652	-0.5276	0.3365
3	2.0	7	512	0.0493	-0.5276	0.3365
3	2.0	7	1024	0.0353	-0.5276	0.3365
3	2.0	7	2048	0.0291	-0.5276	0.3365
3	2.0	8	32	0.2630	-0.5347	0.3771
3	2.0	8	64	0.1547	-0.5347	0.3771
3	2.0	8	128	0.1018	-0.5347	0.3771
3	2.0	8	256	0.0668	-0.5347	0.3771
3	2.0	8	512	0.0492	-0.5347	0.3771
3	2.0	8	1024	0.0352	-0.5347	0.3771
3	2.0	8	2048	0.0283	-0.5347	0.3771
3	2.0	9	32	0.2655	-0.5300	0.3542
3	2.0	9	64	0.1498	-0.5300	0.3542
3	2.0	9	128	0.1012	-0.5300	0.3542
3	2.0	9	256	0.0675	-0.5300	0.3542
3	2.0	9	512	0.0506	-0.5300	0.3542
3	2.0	9	1024	0.0360	-0.5300	0.3542
3	2.0	9	2048	0.0281	-0.5300	0.3542
3	2.0	10	32	0.3005	-0.5640	0.5508
3	2.0	10	64	0.1622	-0.5640	0.5508
3	2.0	10	128	0.0988	-0.5640	0.5508
3	2.0	10	256	0.0650	-0.5640	0.5508
3	2.0	10	512	0.0478	-0.5640	0.5508
3	2.0	10	1024	0.0364	-0.5640	0.5508
3	2.0	10	2048	0.0270	-0.5640	0.5508
4	0.5	1	32	0.4114	-0.4593	0.6568
4	0.5	1	64	0.2910	-0.4593	0.6568
4	0.5	1	128	0.2017	-0.4593	0.6568
4	0.5	1	256	0.1418	-0.4593	0.6568
4	0.5	1	512	0.1071	-0.4593	0.6568
4	0.5	1	1024	0.0785	-0.4593	0.6568
4	0.5	1	2048	0.0623	-0.4593	0.6568
4	0.5	2	32	0.4049	-0.4232	0.5363
4	0.5	2	64	0.2952	-0.4232	0.5363
4	0.5	2	128	0.2147	-0.4232	0.5363
4	0.5	2	256	0.1597	-0.4232	0.5363
4	0.5	2	512	0.1200	-0.4232	0.5363
4	0.5	2	1024	0.0920	-0.4232	0.5363
4	0.5	2	2048	0.0692	-0.4232	0.5363
4	0.5	3	32	0.4457	-0.4126	0.5850
4	0.5	3	64	0.3293	-0.4126	0.5850
4	0.5	3	128	0.2334	-0.4126	0.5850
4	0.5	3	256	0.1738	-0.4126	0.5850
4	0.5	3	512	0.1355	-0.4126	0.5850
4	0.5	3	1024	0.1020	-0.4126	0.5850
4	0.5	3	2048	0.0809	-0.4126	0.5850
4	0.5	4	32	0.5093	-0.4188	0.7182
4	0.5	4	64	0.3493	-0.4188	0.7182
4	0.5	4	128	0.2618	-0.4188	0.7182
4	0.5	4	256	0.1953	-0.4188	0.7182
4	0.5	4	512	0.1488	-0.4188	0.7182
4	0.5	4	1024	0.1127	-0.4188	0.7182
4	0.5	4	2048	0.0870	-0.4188	0.7182
4	0.5	5	32	0.5416	-0.4162	0.7906
4	0.5	5	64	0.3932	-0.4162	0.7906
4	0.5	5	128	0.2844	-0.4162	0.7906
4	0.5	5	256	0.2107	-0.4162	0.7906
4	0.5	5	512	0.1628	-0.4162	0.7906
4	0.5	5	1024	0.1220	-0.4162	0.7906
4	0.5	5	2048	0.0964	-0.4162	0.7906
4	0.5	6	32	0.5844	-0.4165	0.8528
4	0.5	6	64	0.4044	-0.4165	0.8528
4	0.5	6	128	0.3034	-0.4165	0.8528
4	0.5	6	256	0.2266	-0.4165	0.8528
4	0.5	6	512	0.1742	-0.4165	0.8528
4	0.5	6	1024	0.1302	-0.4165	0.8528
4	0.5	6	2048	0.1012	-0.4165	0.8528
4	0.5	7	32	0.6219	-0.4228	0.9503
4	0.5	7	64	0.4413	-0.4228	0.9503
4	0.5	7	128	0.3217	-0.4228	0.9503
4	0.5	7	256	0.2451	-0.4228	0.9503
4	0.5	7	512	0.1817	-0.4228	0.9503
4	0.5	7	1024	0.1393	-0.4228	0.9503
4	0.5	7	2048	0.1053	-0.4228	0.9503
4	0.5	8	32	0.6473	-0.4241	1.0039
4	0.5	8	64	0.4712	-0.4241	1.0039
4	0.5	8	128	0.3416	-0.4241	1.0039
4	0.5	8	256	0.2505	-0.4241	1.0039
4	0.5	8	512	0.1900	-0.4241	1.0039
4	0.5	8	1024	0.1444	-0.4241	1.0039
4	0.5	8	2048	0.1114	-0.4241	1.0039
4	0.5	9	32	0.6890	-0.4256	1.0620
4	0.5	9	64	0.4886	-0.4256	1.0620
4	0.5	9	128	0.3568	-0.4256	1.0620
4	0.5	9	256	0.2674	-0.4256	1.0620
4	0.5	9	512	0.2007	-0.4256	1.0620
4	0.5	9	1024	0.1506	-0.4256	1.0620
4	0.5	9	2048	0.1165	-0.4256	1.0620
4	0.5	10	32	0.7103	-0.4223	1.0863
4	0.5	10	64	0.5164	-0.4223	1.0863
4	0.5	10	128	0.3722	-0.4223	1.0863
4	0.5	10	256	0.2747	-0.4223	1.0863
4	0.5	10	512	0.2071	-0.4223	1.0863
4	0.5	10	1024	0.1599	-0.4223	1.0863
4	0.5	10	2048	0.1228	-0.4223	1.0863
4	1.0	1	32	0.3728	-0.5164	0.7471
4	1.0	1	64	0.2421	-0.5164	0.7471
4	1.0	1	128	0.1601	-0.5164	0.7471
4	1.0	1	256	0.1204	-0.5164	0.7471
4	1.0	1	512	0.0855	-0.5164	0.7471
4	1.0	1	1024	0.0600	-0.5164	0.7471
4	1.0	1	2048	0.0412	-0.5164	0.7471
4	1.0	2	32	0.3268	-0.5301	0.6927
4	1.0	2	64	0.2233	-0.5301	0.6927
4	1.0	2	128	0.1522	-0.5301	0.6927
4	1.0	2	256	0.0988	-0.5301	0.6927
4	1.0	2	512	0.0709	-0.5301	0.6927
4	1.0	2	1024	0.0538	-0.5301	0.6927
4	1.0	2	2048	0.0353	-0.5301	0.6927
4	1.0	3	32	0.3404	-0.5396	0.7549
4	1.0	3	64	0.2241	-0.5396	0.7549
4	1.0	3	128	0.1527	-0.5396	0.7549
4	1.0	3	256	0.1052	-0.5396	0.7549
4	1.0	3	512	0.0718	-0.5396	0.7549
4	1.0	3	1024	0.0487	-0.5396	0.7549
4	1.0	3	2048	0.0369	-0.5396	0.7549
4	1.0	4	32	0.3961	-0.5663	0.9813
4	1.0	4	64	0.2446	-0.5663	0.9813
4	1.0	4	128	0.1657	-0.5663	0.9813
4	1.0	4	256	0.1172	-0.5663	0.9813
4	1.0	4	512	0.0749	-0.5663	0.9813
4	1.0	4	1024	0.0526	-0.5663	0.9813
4	1.0	4	2048	0.0369	-0.5663	0.9813
4	1.0	5	32	0.4106	-0.5634	1.0538
4	1.0	5	64	0.2785	-0.5634	1.0538
4	1.0	5	128	0.1853	-0.5634	1.0538
4	1.0	5	256	0.1204	-0.5634	1.0538
4	1.0	5	512	0.0866	-0.5634	1.0538
4	1.0	5	1024	0.0591	-0.5634	1.0538
4	1.0	5	2048	0.0388	-0.5634	1.0538
4	1.0	6	32	0.4351	-0.5717	1.1552
4	1.0	6	64	0.2905	-0.5717	1.1552
4	1.0	6	128	0.1984	-0.5717	1.1552
4	1.0	6	256	0.1325	-0.5717	1.1552
4	1.0	6	512	0.0952	-0.5717	1.1552
4	1.0	6	1024	0.0604	-0.5717	1.1552
4	1.0	6	2048	0.0392	-0.5717	1.1552
4	1.0	7	32	0.4862	-0.5752	1.2296
4	1.0	7	64	0.3034	-0.5752	1.2296
4	1.0	7	128	0.2033	-0.5752	1.2296
4	1.0	7	256	0.1392	-0.5752	1.2296
4	1.0	7	512	0.0976	-0.5752	1.2296
4	1.0	7	1024	0.0631	-0.5752	1.2296
4	1.0	7	2048	0.0428	-0.5752	1.2296
4	1.0	8	32	0.5057	-0.5692	1.2792
4	1.0	8	64	0.3344	-0.5692	1.2792
4	1.0	8	128	0.2235	-0.5692	1.2792
4	1.0	8	256	0.1543	-0.5692	1.2792
4	1.0	8	512	0.1036	-0.5692	1.2792
4	1.0	8	1024	0.0696	-0.5692	1.2792
4	1.0	8	2048	0.0468	-0.5692	1.2792
4	1.0	9	32	0.5422	-0.5750	1.3518
4	1.0	9	64	0.3607	-0.5750	1.3518
4	1.0	9	128	0.2270	-0.5750	1.3518
4	1.0	9	256	0.1557	-0.5750	1.3518
4	1.0	9	512	0.1067	-0.5750	1.3518
4	1.0	9	1024	0.0700	-0.5750	1.3518
4	1.0	9	2048	0.0504	-0.5750	1.3518
4	1.0	10	32	0.5810	-0.5816	1.4340
4	1.0	10	64	0.3732	-0.5816	1.4340
4	1.0	10	128	0.2447	-0.5816	1.4340
4	1.0	10	256	0.1616	-0.5816	1.4340
4	1.0	10	512	0.1082	-0.5816	1.4340
4	1.0	10	1024	0.0751	-0.5816	1.4340
4	1.0	10	2048	0.0516	-0.5816	1.4340
4	1.5	1	32	0.3582	-0.5007	0.6391
4	1.5	1	64	0.2257	-0.5007	0.6391
4	1.5	1	128	0.1616	-0.5007	0.6391
4	1.5	1	256	0.1170	-0.5007	0.6391
4	1.5	1	512	0.0832	-0.5007	0.6391
4	1.5	1	1024	0.0572	-0.5007	0.6391
4	1.5	1	2048	0.0438	-0.5007	0.6391
4	1.5	2	32	0.2990	-0.5425	0.6551
4	1.5	2	64	0.2019	-0.5425	0.6551
4	1.5	2	128	0.1381	-0.5425	0.6551
4	1.5	2	256	0.0962	-0.5425	0.6551
4	1.5	2	512	0.0606	-0.5425	0.6551
4	1.5	2	1024	0.0454	-0.5425	0.6551
4	1.5	2	2048	0.0318	-0.5425	0.6551
4	1.5	3	32	0.3097	-0.5804	0.8355
4	1.5	3	64	0.2078	-0.5804	0.8355
4	1.5	3	128	0.1377	-0.5804	0.8355
4	1.5	3	256	0.0896	-0.5804	0.8355
4	1.5	3	512	0.0625	-0.5804	0.8355
4	1.5	3	1024	0.0418	-0.5804	0.8355
4	1.5	3	2048	0.0275	-0.5804	0.8355
4	1.5	4	32	0.3244	-0.5958	0.9041
4	1.5	4	64	0.2108	-0.5958	0.9041
4	1.5	4	128	0.1347	-0.5958	0.9041
4	1.5	4	256	0.0856	-0.5958	0.9041
4	1.5	4	512	0.0585	-0.5958	0.9041
4	1.5	4	1024	0.0400	-0.5958	0.9041
4	1.5	4	2048	0.0275	-0.5958	0.9041
4	1.5	5	32	0.3524	-0.6313	1.1236
4	1.5	5	64	0.2172	-0.6313	1.1236
4	1.5	5	128	0.1480	-0.6313	1.1236
4	1.5	5	256	0.0915	-0.6313	1.1236
4	1.5	5	512	0.0581	-0.6313	1.1236
4	1.5	5	1024	0.0384	-0.6313	1.1236
4	1.5	5	2048	0.0257	-0.6313	1.1236
4	1.5	6	32	0.3847	-0.6503	1.2572
4	1.5	6	64	0.2352	-0.6503	1.2572
4	1.5	6	128	0.1484	-0.6503	1.2572
4	1.5	6	256	0.0923	-0.6503	1.2572
4	1.5	6	512	0.0576	-0.6503	1.2572
4	1.5	6	1024	0.0389	-0.6503	1.2572
4	1.5	6	2048	0.0260	-0.6503	1.2572
4	1.5	7	32	0.4183	-0.6644	1.4090
4	1.5	7	64	0.2592	-0.6644	1.4090
4	1.5	7	128	0.1589	-0.6644	1.4090
4	1.5	7	256	0.1024	-0.6644	1.4090
4	1.5	7	512	0.0631	-0.6644	1.4090
4	1.5	7	1024	0.0416	-0.6644	1.4090
4	1.5	7	2048	0.0262	-0.6644	1.4090
4	1.5	8	32	0.4456	-0.6838	1.5246
4	1.5	8	64	0.2606	-0.6838	1.5246
4	1.5	8	128	0.1623	-0.6838	1.5246
4	1.5	8	256	0.1039	-0.6838	1.5246
4	1.5	8	512	0.0646	-0.6838	1.5246
4	1.5	8	1024	0.0401	-0.6838	1.5246
4	1.5	8	2048	0.0253	-0.6838	1.5246
4	1.5	9	32	0.4775	-0.6751	1.5751
4	1.5	9	64	0.2866	-0.6751	1.5751
4	1.5	9	128	0.1829	-0.6751	1.5751
4	1.5	9	256	0.1141	-0.6751	1.5751
